FID,lon,lat,Mass,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
1,115.508,-8.343,0.0698,20171125,22,2019,2997,26,46,60,37,119,31,3,4,3,1,1
2,40.553,13.793,0.066,20080311,281,2008,578,3,111,24,12,-6,24,2,8,2,3,2
5,-84.703,10.463,0.408,19800000,2858,2010,1670,72,16,41,20.5,22,37,3,4,3,1,1
6,-84.703,10.463,0.259,19880000,3554,2010,1670,72,16,41,20.5,22,37,3,4,3,1,1
7,-84.703,10.463,0.0486,19970000,861,2010,1670,72,16,41,20.5,22,37,3,4,3,1,1
8,-84.703,10.463,0.0297,20000000,1487,2010,1670,72,16,41,20.5,22,37,3,4,3,1,1
9,138.523,36.406,0.000059,20040915,4,2019,2568,70,178,50,21,28,36,3,2,3,1,1
10,131.085,32.8849,0.00000004,20030710,0,2021,1592,53,92,43,17,-32,35,1,1,3,1,1
11,131.085,32.8849,0.00000003,20040114,0,2021,1592,53,92,43,17,-32,35,1,1,3,1,1
12,131.085,32.8849,0.00000015,20141125,4,2021,1592,53,92,43,17,-32,35,1,1,3,1,1
13,131.085,32.8849,0.00000007,20141129,3,2021,1592,53,92,43,17,-32,35,1,1,3,1,1
14,131.085,32.8849,0.00000002,20141202,6,2021,1592,53,92,43,17,-32,35,1,1,3,1,1
15,131.085,32.8849,0.00000039,20141223,15,2021,1592,53,92,43,17,-32,35,1,1,3,1,1
16,-153.435,59.3626,0.0315,20060113,0,2006,1218,25,62,53,33,217,39,3,5,3,1,1
17,-153.435,59.3626,0.00208,20060117,4,2006,1218,25,62,53,33,217,39,3,5,3,1,1
18,-153.435,59.3626,0.0325,20060127,0,2006,1218,25,62,53,33,217,39,3,5,3,1,1
19,-153.435,59.3626,0.00182,20060114,2,2006,1218,25,62,53,33,217,39,3,5,3,1,1
20,-153.435,59.3626,0.00442,20060117,6,2006,1218,25,62,53,33,217,39,3,5,3,1,1
21,-153.435,59.3626,0.0283,20060202,8,2006,1218,25,62,53,33,217,39,3,5,3,1,1
22,158.836,53.256,0.0278,19910113,10,2001,2717,115,61,53,33,10,34,3,4,3,1,1
26,-17.516,64.633,3.64,20140829,182,2015,2000,55,128,40,15,-110,26,3,4,2,2,2
27,160.595,55.972,0.21,20190315,0,2024,2882,13,58,44,22,500,33,3,4,3,1,1
28,160.595,55.972,0.00754,20091216,0,2024,2882,13,58,44,22,500,33,3,4,3,1,1
29,160.595,55.972,0.0936,20060731,2501,2024,2882,13,58,44,22,500,33,3,4,3,1,1
30,160.595,55.972,0.0988,20130605,1557,2024,2882,13,58,44,22,500,33,3,4,3,1,1
31,-72.618,-41.33,0.101,20150422,0,2015,1974,35,136,47,26,4,38,3,4,3,1,1
32,-72.618,-41.33,0.317,20150423,0,2015,1974,35,136,47,26,4,38,3,4,3,1,1
33,9.17,4.203,0.0266,19821016,28,2000,4095,40,72,117,41,17,29,3,4,1,1,4
34,9.17,4.203,0.169,19990328,26,2000,4095,40,72,117,41,17,29,3,4,1,1,4
35,9.17,4.203,0.0156,20000528,23,2000,4095,40,72,117,41,17,29,3,4,1,1,4
36,-91.408,-0.92,0.297,19980915,37,2008,1640,20,107,20,10,13,15,4,3,2,2,2
37,-72.97,-45.9,0.2,19910808,1,2011,1905,67,21,48,24,3,34,3,4,3,1,2
38,-72.97,-45.9,6.03,19910812,2,2011,1905,67,21,48,24,3,34,3,4,3,1,2
39,-86.702,12.506,0.00346,19951129,4,1999,728,18,69,38,27,41,35,5,6,3,1,2
40,-86.702,12.506,0.036,19920410,1,1999,728,18,69,38,27,41,35,5,6,3,1,2
41,-86.702,12.506,0.00888,19951122,11,1999,728,18,69,38,27,41,35,5,6,3,1,2
42,-72.6514,-42.8349,0.228,20080511,16,2011,1122,25,81,47,24,3,35,1,1,3,1,6
43,-72.6514,-42.8349,0.0041,20080502,0,2011,1122,25,81,47,24,3,35,1,1,3,1,6
44,-72.6514,-42.8349,0.26,20080503,3,2011,1122,25,81,47,24,3,35,1,1,3,1,6
45,-72.6514,-42.8349,0.22,20080506,0,2011,1122,25,81,47,24,3,35,1,1,3,1,6
46,-103.62,19.514,0.00319,20070201,1610,2019,3850,26,54,32,16,-57,32,3,4,3,1,1
47,-78.436,-0.677,0.000765,20150815,24,2023,5911,116,67,63,27,-11,52,3,4,3,1,1
48,-78.436,-0.677,0.000228,20151002,16,2023,5911,116,67,63,27,-11,52,3,4,3,1,1
49,-78.436,-0.677,0.0000349,20151104,21,2023,5911,116,67,63,27,-11,52,3,4,3,1,1
50,-93.2297,17.3602,0.5,19820323,0,1982,1150,58,42,66,30,-19,34,3,5,3,1,5
51,-93.2297,17.3602,0.969,19820404,0,1982,1150,58,42,66,30,-19,34,3,5,3,1,5
52,-93.2297,17.3602,0.7,19820404,0,1982,1150,58,42,66,30,-19,34,3,5,3,1,5
53,40.666,13.601,0.104,20141001,1734,2024,585,7,109,24,12,-14,24,4,3,2,3,2
54,14.999,37.748,0.003,19990904,1,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
55,14.999,37.748,0.00087,20021027,0,2024,3357,135,35,61,22,-116,31,3,4,3,1,4
