FID,lon,lat,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
1,140.281,37.647,20260101,225,1996,1728,73,42,60,20,-43,30,3,4,3,1,1
2,130.6589,31.5772,20260101,225,2024,1117,15,500,40,16,30,32,1,1,3,1,1
3,159.45,53.98,20260101,225,1996,1180,60,57,52,34,-129,35,3,4,3,1,1
4,144.013,43.384,20260101,225,2008,1499,127,207,60,28,-112,38,1,1,3,1,1
5,140.757,39.964,20260101,225,1997,1366,93,181,60,24,27,29,3,4,3,1,1
6,-165.986,54.134,20260101,225,1992,1303,120,87,60,36,-257,25,3,4,3,3,2
7,155.565,50.861,20260101,225,2022,2285,73,69,55,26,53,30,3,4,3,1,2
8,-91.12,-0.43,20260101,225,1993,1130,-2,100,19,9.5,-22,15,4,3,2,2,2
9,167.835,-15.389,20260101,225,2024,1496,54,57,27,13,148,12,4,3,3,3,2
10,124.42,0.75,20260101,225,2005,1795,14,44,44,30,3,31,3,2,3,1,1
11,-171.252,52.5,20260101,225,1997,1066,70,118,53,26.5,-9,24,3,4,3,3,1
12,-174.139,52.331,20260101,225,2024,1518,172,67,54,27,149,22,3,4,3,3,2
13,125.447,3.689,20260101,225,2004,1318,46,70,34,17,4,22,3,4,3,2,1
14,129.881,-4.523,20260101,225,1988,596,15,29,51,12,-1,16,3,1,3,2,3
15,93.858,12.278,20260101,225,2024,354,-22,62,58,30,15,26,3,4,3,1,2
16,115.3775,-8.2403,20260101,225,2000,1711,23,49,62,37,108,31,1,1,3,1,1
17,-26.533,-59.017,20260101,225,2016,1100,37,83,52,29,9,13,3,4,3,2,2
18,124.056,12.769,20260101,225,2022,1535,51,49,45,14,-115,24,3,4,3,1,1
19,-71.45,-37.92,20260101,225,1980,3164,77,134,57,25,-12,44,3,4,3,1,1
20,146.252,44.353,20260101,225,1981,1822,138,480,64,28,-123,25,3,4,3,3,2
21,-156.99,57.135,20260101,225,1998,2221,37,89,54,25,-340,35,3,4,3,1,1
22,155.461,50.324,20260101,225,2023,1781,91,91,59,27,53,29,3,4,3,1,2
23,-71.378,-36.868,20260101,225,2022,3180,45,252,63,30,-2,44,3,4,3,1,1
24,153.48,48.98,20260101,225,2022,724,55,61,61,25,69,26,3,4,3,3,1
25,150.871,46.532,20260101,225,2016,742,81,90,65,25,-43,18,3,1,3,2,1
26,-169.944,52.825,20260101,225,2020,1730,58,97,52,26,149,25,3,4,3,3,1
27,121.601,-0.162,20260101,225,1983,404,-6,63,48,29,41,34,3,4,3,1,5
28,-85.622,11.538,20260101,225,2024,1700,32,36,40,20,98,40,3,4,3,1,1
29,-71.183,-37.856,20260101,225,2021,2953,86,120,59,26,50,44,3,4,3,1,4
30,40.48,12.595,20260101,225,2005,1401,13,89,26,13,-83,26,3,4,2,3,2
31,103.121,-4.016,20260101,225,2024,3142,187,69,66,28,7,32,3,4,3,1,1
32,109.879,-7.2,20260101,225,2021,2565,80,88,77,25,77,35,3,2,3,1,1
33,127.8783,1.6992,20260101,225,2024,1273,57,57,44,24,-10,26,3,2,3,2,1
34,168.3893,-16.6797,20260101,225,2023,833,17,116,28,11,32,11,2,4,3,3,2
35,156.014,50.686,20260101,225,2024,1103,89,58,58,28,3,29,3,4,3,1,1
36,153.93,48.958,20260101,225,2010,1170,102,55,63,26,-13,26,3,4,3,3,1
37,147.871,45.012,20260101,225,2013,1158,142,123,66,27,-99,19,3,2,3,3,1
38,-153.672,58.77,20260101,225,2006,2105,14,58,51,30,26,38,3,4,3,1,1
39,-90.88,14.473,20260101,225,2024,3763,53,352,36,18,11,36,3,4,3,1,2
40,127.3322,0.81,20260101,225,2018,1714,132,43,45,26,-36,30,3,4,3,2,1
41,127.53,1.38,20260101,225,2007,1635,61,55,45,25,-1,27,3,4,3,2,1
42,-178.794,51.79,20260101,225,1989,1573,-19,110,58,29,-122,17,3,4,3,3,2
43,167.514,-14.281,20260101,225,2022,729,61,65,26,14,8,12,3,4,3,3,1
44,158.0358,52.5549,20260101,225,2010,1799,127,78,57,31,-23,34,3,1,3,1,2
45,-176.13,52.076,20260101,225,2024,1740,131,131,55,27.5,17,17,3,4,3,3,1
46,139.021,35.233,20260101,225,2015,1438,85,86,59,23,187,31,3,2,3,1,1
47,73.513,-53.106,20260101,225,2024,2745,76,64,79,25,70,19,3,4,1,2,4
48,-18.03,27.73,20260101,225,2012,1500,34,52,99,17,-36,16,4,3,1,2,4
49,140.677,42.063,20260101,225,2000,1131,42,225,48,30,6,33,3,4,3,1,1
50,-175.3841,-20.5532,20260101,225,2022,114,110,11,46,33,-93,14,1,1,3,2,1
51,114.242,-8.058,20260101,225,1999,2769,101,42,67,35,-39,30,3,4,3,1,1
52,-68.55,-20.73,20260101,225,1995,5163,97,146,75,38,12,65,3,4,3,1,1
53,139.098,34.9,20260101,225,1989,1406,85,106,58,23,176,28,2,6,3,1,2
54,140.303,30.484,20260101,225,2002,394,64,43,50,20,-100,12,3,4,3,2,2
55,-8.155,71.082,20260101,225,1985,2197,76,85,44,17,2,11,3,4,2,2,2
56,102.615,-3.522,20260101,225,2000,1940,114,97,62,28,-5,32,3,4,3,1,1
57,144.588,-3.608,20260101,225,2023,365,43,56,30,15,51,30,3,4,3,1,1
58,156.875,51.306,20260101,225,2017,2116,146,90,60,30,-4,31,3,4,3,1,2
59,-177.168,51.923,20260101,225,2023,1307,-1,175,57,28.5,-85,15,3,4,3,3,1
60,123.13,10.4096,20260101,225,2024,2422,115,50,45,18,3,33,3,4,3,1,1
61,101.264,-1.697,20260101,225,2024,3800,91,93,57,31,18,32,3,4,3,1,1
62,127.4,0.32,20260101,225,1988,1357,152,28,45,26,-35,32,3,4,3,2,1
63,130.305,30.793,20260101,225,2024,704,23,500,39,18,-59,27,1,1,3,2,6
64,177.602,52.103,20260101,225,1990,1220,65,88,55,27.5,83,20,3,4,3,3,1
65,158.712,53.321,20260101,225,2009,3430,117,65,53,32,-49,35,3,4,3,1,1
66,150.027,-5.416,20260101,225,2008,564,172,18,43,21.5,-1,28,3,4,3,1,1
67,131.249,33.086,20260101,225,1996,1791,45,77,44,17,-9,35,3,4,3,1,1
68,138.528,36.618,20260101,225,2018,2165,83,286,50,21,7,35,3,4,3,1,1
69,-17.83,28.57,20260101,225,2021,2426,35,58,97,15,113,16,3,4,1,2,4
70,148.42,-5.525,20260101,225,2024,1330,55,52,36,18,16,29,3,2,3,1,2
71,-174.87,-19.18,20260101,225,2019,43,75,66,41,20.5,35,11,3,4,3,2,3
72,-71.729,-38.692,20260101,225,2009,3125,35,223,54,24,21,43,3,4,3,1,2
73,124.792,1.358,20260101,225,2015,1580,121,55,37,18.5,22,29,3,4,3,1,2
74,147.12,-5.358,20260101,225,1993,1280,8,79,31,15.5,-17,27,3,2,3,1,1
75,168.346,-16.507,20260101,225,2007,1413,19,111,28,12,55,11,3,4,3,3,2
76,-166.923,53.891,20260101,225,1995,1800,73,96,58,41,54,26,3,4,3,3,1
77,100.474,-0.38,20260101,225,2024,2885,40,100,55,28,18,34,3,2,3,1,1
78,-90.47,0.33,20260101,225,1991,343,-13,102,17,8.5,-35,13,4,3,2,2,2
79,37.75,-46.9,20260101,225,2004,1230,54,75,60,30,-47,14,4,3,2,2,2
80,-86.1688,11.9844,20260101,225,2024,594,25,48,38,19,101,38,1,1,3,1,2
81,45.17,-12.83,20260101,225,2019,660,116,58,91,41,-31,14,4,3,1,2,2
